абазия | abasia, ае / | abaziya
- джексоновская (фокальная, | epilepsia corticalis (eplepsia | Jeksonyn garagu§agyry keseli
или кортикальная, или очаговая) | partialis) | 
- с малыми приступами | epilepsia minor sive mitior | yenil tutgayly garagu§agyry keseli
эпилептиформный, эпилептондный | epileptiformis, e | epileptiformaly; garagu§agyry keseline menze§
эпилептический | epilepticus, a, um | epileptiki
-статус или эпилептическое состояние | status epilepticus | epileptiki; garagu§agyryly yagday
эпиляция | epilatio, onis f | epilyasiya
эпиневрон.эпинейрон | epineurium, i m | epineyron; epinewron
эпинефрэктомия | adrenaleetomia, ae f | adrenalektomiya
эписклерит | episcleritis, tidis f | episklerit
эписпадия | epispadia, a e f | epispadiya
эпистаксис | epistaxis, is f | epistaksis; bur nun ganamagy
эпиталамус | epithalamus, / m 267 | epitalamus
эпителиальный | epithelialis, с | epitelial
эпителиальная ткань | epithelium, i п | epitelial dokuma
эпителиома | epitelioma, atis п | epitelioma
-базацеллюлярная | epithelioma basocellulare | bazal dvjiikli derinin epiteliomasy
-лица разъедающая | uicus rodens | yuzuni iyip barvan deri epiteliomasy
эпителиома спиноцеллюлярная | epithelioma spinocellulare | onurga oyjiikli deri epiteliomasy
эпитимпанит | epithympanitis, tidis f | epitimpanit
эпитуберкулез | epituberculosis, is f | epituberkulyoz
эпифиз | corpus pineale | epifiz
эпифизиолиз | epiphysiolysis, is f | epifizioliz
эпифора | epiphora, ae f | epifora; у as akma
эпоним | eponymon, i n | eponim
эпонихий | eponychium, i n | epohiniy; tiz osyan dyrnak
эпоофорон | epoophoron, i n | epooforon; yumurtgalygyn go§undysy
эпулис | epulis, idis f | epulis
эрба симптом | Erbi signum | Erbanyn alamaty
Эрба-Гольдфлама болезнь | myasthenia gravis pseudoparalytica | Erba-Goldflamyn keseli
Эрготизм | ergotismus, i in | ergotizm; agyrly gyjynmaklyk
эрейтофобия | ereuthophobia, ae f | ereytofobiya
эрекция | erectio, onis f | ereksiya; gonelyan; gatayan
эретизм | erethismus, i m | eretizm; agyryly gyjynmaklyk
эризипелоид Розенбаха | erysipeloidum, i n | Rozenbahyn erizipeloidi
эритема | erythema, atis n | eritema
-индуративная | erythema induratum | induratiw eritema; dokumalary dykyzlandyryjy eritema
-инфекционная | erythema infectiosum | yokanyly eritema
-Милиана | Miliani erythema | Milianyn eritemasv
-многоформная экс­ | erythema exsudativum | kop gorniisli ekssudatiw eritema
судативная | multiforme | 
-солнечная | erythema solare | gun §6hlesinden bolyan epitelioma
-узловатая | erythema nodosum | duwiin gornujjli eritema
эритематоз | lupus erythematodes sive erythematosis | eritematoz
эритемная доза | ED (erythema dosis) | deri, ham, eritema mukdary; dozasy
эритразма | erythramsma, atis n | eritrazma
эритремия | erythraemia, ae f (polycytaemia vera) | eritremiya
эритробласт | erythroblastus, i m | eritroblast
эритробластоз | erytroblastosis, is f | eritroblastoz
-острый | erytroblastosis acuta | yiti eritroblastoz
-плода | morbus haemolyticus neonatorum | duwun^egin eritroblastozy
эритродермия | erythrodermia, ae f | eritrodermiya; derinin gyzarmagy
эритролиз | erythrocytolysis, is f (erythrolysis,-is f) | critroliz; eritrositlerin eremegi
эритромелалгия | erythromelalgia, ae f | eritromelalgiya
эритромиелолейкоз | erythroblastosis acuta | eritromiyeloleykoz
эритропоэз | erythropoesis, is f | eritropoez; eritrositlerin emele gelmegi
эритропсия | erythropsia, ae f (erythropia, | eritropsiya
эритрофобия | ereuthophobia, ае / | eritrofobiya
эритроцианоз кожи | erythrocyanosis cutis | derinin eritrosianozy
симметричный | symmetrica | 
эритроцит | erythrocytus, i m | eritrosit
-нормальный | normocytus, i m | normal; adaty eritrosit
-образование | erythropoiesis, is f | eritropoez; eritrositlerin emele gelmegi
эритроцитоз | erythrocytosis, is f | eritrositoz
эрнтроцитолиз | erythrocytolysis, is f | eritrositoliz
Эрлиха диазо-реакция | diazo-reactio | Erlihin diazo-reaksiyasy
эрозия | erosio, onis f | eroziya
эруптивный | eruptivus, a, um | eruptiw
эрупция | eruptio, onis f | erupsiya; orgunin yiize 9 ykmagy
эссенциальная гипертония | hypertonia essentiaiis, morbus hypertonicus | essensial gipertoniya
-гипохромная анемия | chloranaemia, ae f | hloranemiya; gan azlylyk
эссенциальный | essentialise, idiopathicus, a, um | essensial; idiopatiki; esasy; ahmiyetli
эстрогенный | oestrogenes, is | estrogen
-гормоны | oestrogenaorum n/pl | estrogen gormonlar
этиловый алкоголь | alcogol, olis n | etil spirti
этиология | aetiologia, ae f | etiologiya; keselin sebabi
этиотропный | aetiotropus, a, um | etiotrop
этмоидазьный | ethmoidalis, e | etmoidal; gozenek gorniisli sunk
этмоидит | ethmoiditis, tidis f | etmoidit
эфелиды | ephelides ,f/pl | efelid; ytiz diiwurtigi
эффект | effectus, us m | effekt; netije
эффемерный | ephemerus, a, um | effemer; bir giinliik; tiz gelyan
эффеминация | effeminatio, onis f | effeminasiya; ayala mefize§
эфферентный | epfferes, ntis | efferent
эффдоресиенция | efflorescentia, a e f | effloressensiya
эффузия | effusio, onis f | effuziya; dokiilme; inme
эхинококк * | Echinococcus, i m; Faenia echinococcus, is f | ehinokokk
эхинококкоз, эхинококковая болезнь | echinococcosis | ehinokokk keseli
эхолатия | echoloialia, ae f | eholaliya; yanlanyan ses
эякуляция | ejaculatio, onis f | eyakulyasiya; dolun dokiilmegi
ювенильный | juvenilis, e | yuwenil; ya§ yigit; gyz
югулярный | jugularis, e | yugulyar
юность | adolescentia, ae f | jahyllyk
юноша | adolescens, ntis m | ya§ yigit; jahyl
юношеский | juvenilis, e | ya§ yigitlik; jahyllyk
юный | adolescens, ntis; juvenilis,с | ya §
яблоко адамово | prominentia laryngea | galkan gorniisli kekirdewugin osuntgisi
- глазное | bulbus oculi | goz almasy
яазенне побочное | effectus secunalarius | go^ma^a tasir
явный | evidens, ntis ; manifestos, a, um | ewident; manifest; a^yk; belli; aydyn
ягодицы | nates, im f/pl 269 | guyruk; gowranin otyryeri;
ягодичная мышца | musculus gluteus | guyruk my§sasy
ягодичный | glutealis, е | guyruk... otyryer...
яд | toxinum, j и: venenum, i n | toksin; avvy; zaher
- животный | venenum, i a ; zootoxinum, i n | zootoksin; hay wan zaheri
- трупный | ptomainum, i n | maslyk; meyit awusy
ядерное тельце | nucleolus, i m | yadrojagaz
ядерный | nuclearis, e | yadro..., ozene degi§li
ядовитость | toxicitas, atis f | zaherlilik; awulylyk
ядовитый | toxicus, a, inn | zaherli; awuly
ядра | nuclei, orum m/pl | yadrolar; ozenler
- в зрительном бугре | nuclei systematis nervosi centeralis | gorij§ tummusindaki yadrolar
- нервов черепномозго­ | nuclei systematis nervosi | kelle beyni nerwlerinin
вых | centralis | yadrolary
- подкорковые | nuclei basales | beyni bardasynyn asagyndaky nerwlerin yadrolary
- центральной нервной | nuclei systematis nervosi | merkezi nerw sistemasynvn
системы | centralis | nerwlerinin yadrolary
ядро | nucleus, i m | yadro; ozen
- клеточное, ядро клетки | nucleus cellulae | oyjuk yadrosy
- студнеобразное | nucleus pulposus | studen; goyy gorniisli yadro
- зубчатое | nucleus dentatus | dis-dis yadro
- хвостатое | nucleus caudlatus | guyrukly yadro
- чечевицеобразное | nucleus lentiformis | merjimek; noyba gornu§li yadro
ядроподобный | nucleiformis, e | yadro menzes
ядрышко | nucleolus, i in | yadrojyk; ozenjik
язва | ulcus, f r a n | bay
- варикозная | ulcus varicosum | warikoz ba§y
- венерическая | ulcus molle | weneriki ba§; yum$ak .sankr
- восточная, или пендинская | leishmaniosis cutanea si\e cutis | pe§ehorda; deri-ham ley§maniozy; Pendi yarasy
- вульвы острая | ulcus vulvae acutum | wulwanyn; avallaryn da$ky jyns organlarynyn yiti yarasy
- гастро-дуоденальная | ulcus gastroduodenale | asgazan - on iki barmak iceganin basy
- двенадцатиперстной кишки, или дуоденальная | ulcus duodeni | on iki bapmak iceganin ba§y
- желудка | ulcus ventriculi | asgazanyn ba§y
- каллозная, или омозолелая | ulcus callosum | gabarcakly ba§
- образование | exulceratio, onis f | eksulserasiya; ba§ emele gelme
- пенетрирующая, или проникающая | ulcus penetrans | i^inden gelyan ba§
- пептическая | ulcus pepticum | peptiki bus
- - тощей кишки | ulcus pepticum jejuni | inge iceganin peptiki ba§y
- ползучая | ulcus phagedaenicum | stiysyan; yayrayan ba$
- прободающая | ulcus perforans | de?yan; iyyan ba?
- разъедающая | ulcus rodens | ^uyrediji ba§
- роговой оболочки | ulcus corneae | goziin buvnuz perdesinin yarasy
- роговой оболочки ползучая | ulcus serpens corneae | gozun buynuz perdesinin siiy§yan yarasy
- сибирская | anthrax, acis in; pustula maligna | sarybas; sibir ba?y
- сифилитическая | ulcus syphiliticum | merezyel ba§y
- смешанная | ulcus mixtum | gary§yk; gaty§yk ba§
- стопы прободающая | malum perforanS pedis 270 | dabany de§yan ba$
язвенный | ulcerosus, а, ит | yaraly; ba§ly
- распад | exulceratio, onis f | ba§yn yarylmagy; dargamagy
язык | lingua, ae f | lingwa; dil
- бороздчатый, или скротальный | lingua scrotalis plicata sive | ke*jlenen dil
- географический, или ландкартообразный | lingua geographica | karta §ekilli dil ya-da geografiki dil
- черный, илн волосатый | lingua nigra | gara ya-da tuyli dil
языко-глоточный нерв | nervus glossopharyngeus | dil-bokurdak nerwi
язычная миндалина | tonsella lingua Its | dil mindalinasy
язычный | lingualis, e | dil...; dile degi§li
язычок | uvula, ae f ; lingula, ae f | kiyi dil; diljagaz
- расщепленный | uvula bifida | ika bolunen diljagaz
яичко | testis, is m | erkeklik tohumlygy; yumurtgajyk
- отсутствие | cryptorchismus, i in; monorchismus, / m | kriptorhizm; yumurtgajygyn bolmazlygy
- придаток | epididymis, idis f | yumurtganyn go§undysy
яичник | ovarium, ii n | ayallaryn tohumlygy
яичниковая беременность | graviditas ovarica | yumurtgadaky gowrelilik
яичниковый | ovarialis, e | yumurtgalyk...
яичный желток | vitellus ovi | yumurtganyn sarysy
яйцевидный | ovalis, e | yumurtga gornu§li
яйцеклетка | ovulum. i ir. ovum, i n | ayalyn jyns oyjugi
- оплодотворенная | spermovium. ii n | tohumlanan jyns oyjugi
яйцо | ovulum, / n\ ovum, i a | yumurtga
яловый (о скоте) | infcrtilis, e | gysj r: (haywan barada)
ямка | fossu la, ae f ; fossa, ae f ; vallecula, ae f; recessus, us m: scrobiculus i m | (.ukur jyk; yukanak
- воронкообразная | infundibulum, i n | guyguy ^ekilli yukanak
- маленькая | foveola, ae / ; vallecula, ae f | kiyijik yukanak
- подвздошная | fossa iliaca | yanba"? sunkiinin yukanagy
- подколенная | fossa poplitea | dyzastj yukanagy
- подложечная | scrobiculus cordis | sepirjek yukanagy
- подмышечная | axilla, ae f | goltugasty yukurjygy
- сетчатки центральная | fossa centralis retinae | gozun torjagazynyn merkezi yukanagy
ямочка | foveola, ae f ; scrobiculus, i m; vallecula, ae f | yukurjyk; yukanajyk
яремная вена | vena jugularis | boyun, alkym wenasy; boyuntyryk wenasy
Яриша-Герксгеймера реакция | Jarisch-Herxkheimer' reactio | Yari§ - Gerksgeymerin reaksiyasy
ясный | lucidus, a, um; evidens, ntis | aydyn; ayyk; nurana; pak
ятрогения, ятрогенная болезнь | iatrogenia, ae f | yatrogeniya; yatrogen keseli
Яффе-Лихтенштейна болезнь | ostitis fibrosa cystica localisata | Yaffe-Lihten§teyn keseli
ячеечный, ячеистый | alveolaris, e | oyjtikli; oyjuk-oyjuk
ячейка | alveolus, i m; cellula, ae f | oyjuk; de^ik
- решетчатой кости большая передняя | bulla ethmoidalis | gozenekli sunkdn uly onki oyjtigi
ячейки зубные | alveoli dentales | di§lerin oyjukleri
- сосцевидного отростка | celleulae mastoideae | emzik gornti^li osuntiginin oyjukleri
ячмень | hordeolum, / n | ittirsek
ящур | stomatitis aphthosa opizootica 271 | agsyl
